product_name,product_code,type,revenue_2019,quantity_2019,revenue_2020,quantity_2020,revenue_2021,quantity_2021,revenue_2022,quantity_2022,revenue_2023,quantity_2023
Potion of Frost Giant Strength,31084699,POTIONS & SCROLLS,135552,353,169728,442,135168,352,135552.0,353,185856,484
Clothes of Mending,31113150,ADVENTURING EQUIPMENT,42090,345,63074,517,46360,380,39369.40000000001,331,40382,331
Holy Symbol of Ravenkind,31145470,ADVENTURING EQUIPMENT,156408,392,127281,319,165984,416,164787.0,413,156807,393
Chain shirt ,31180478,ARMS & ARMOUR,248248,616,488436,1212,419926,1042,145483.0,361,137020,340
Skyblinder Staff,31277255,ARMS & ARMOUR,109620,348,102690,326,137025,435,88515.0,281,118125,375
Cracked Driftglobe,31296286,ADVENTURING EQUIPMENT,97643,377,118881,459,86765,335,96866.0,374,105672,408
Claw of the Wyrm Rune,31389506,ADVENTURING EQUIPMENT,184756,374,215384,436,159068,322,224276.0,454,192660,390
Rod of Rulership,31484382,ADVENTURING EQUIPMENT,410875,475,394440,456,404820,468,373680.0,432,410875,475
Pearl of Power,31639223,ADVENTURING EQUIPMENT,340480,448,284240,374,282720,372,291840.0,384,389120,512
Dulcimer,31651010,MUSICAL INSTRUMENT,137564,476,138720,480,102306,354,105196.0,364,117912,408
Belt of Storm Giant Strength,31666810,ADVENTURING EQUIPMENT,18288,381,17616,367,17520,365,19872.0,414,17712,369
Dragon Slayer,31738551,ARMS & ARMOUR,128097,387,170134,514,222432,672,210847.0,637,141668,428
Armblade,31778291,ARMS & ARMOUR,44500,445,41800,418,45900,459,56000.0,560,49500,495
Medium Armour +1,31790219,ARMS & ARMOUR,38772,359,49356,457,43200,400,60804.0,563,123228,1141
Robe of the Archmagi,31798429,ADVENTURING EQUIPMENT,139062,462,132139,439,128226,426,110768.0,368,126119,419
Wand of Polymorph,31860962,ARMS & ARMOUR,3620,362,4100,410,4090,409,3680.0,368,3320,332
Doss lute,31868010,MUSICAL INSTRUMENT,74630,439,61200,360,62560,368,66130.0,389,65620,386
Ring of Resistance,31877851,JEWELRY,112000,400,101080,361,91280,326,118972.0,433,101360,362
Parchment (twenty pages) ,31915460,POTIONS & SCROLLS,158340,455,128064,368,163212,469,130500.0,375,143376,412
Toque,31929380,ADVENTURING EQUIPMENT,408591,409,408591,409,384615,385,447552.0,448,396603,397
Weapon +2,31939650,ARMS & ARMOUR,182508,454,438582,1091,434964,1082,241602.0,601,137886,343
Hazirawn,31998986,ARMS & ARMOUR,155914,746,316217,1513,397100,1900,779779.0,3731,485507,2323
Longbow ,32038230,ARMS & ARMOUR,182988,391,153504,328,320580,685,797004.0,1703,722592,1544
Voting Kit,32120025,ADVENTURING EQUIPMENT,326665,395,351475,425,354783,429,373804.0,452,296066,358
Halberd ,32122870,ARMS & ARMOUR,289454,446,245971,379,327096,504,464684.0,716,434830,670
Oil of Sharpness,32162901,ADVENTURING EQUIPMENT,129780,420,142758,462,130398,422,167478.0,542,150483,487
Alchemy Jug (Blue),32173893,ADVENTURING EQUIPMENT,182095,461,114155,289,160765,407,134300.0,340,160370,406
Cartographers Map Case,32208330,TOOLS & KITS,43956,407,49140,455,45036,417,44604.0,413,34236,317
Trident,32258981,ARMS & ARMOUR,5568,696,11640,1455,11104,1388,5224.0,653,3072,384
Hellsteel Simple Melee Weapon,32291590,ARMS & ARMOUR,289838,463,278570,445,241636,386,229742.0,367,911456,1456
Shield of Far Sight,32306459,ARMS & ARMOUR,105183,403,103617,397,102834,394,194445.0,745,134676,516
Ring of Truth Telling,32344521,JEWELRY,219646,406,228302,422,192596,356,191514.0,354,227220,420
Mithral Armour,32394409,ARMS & ARMOUR,143208,468,139842,457,170748,558,239904.0,784,234396,766
Talisman of Ultimate Evil,32463702,JEWELRY,198208,608,138224,424,134312,412,126488.0,388,129422,397
Mace of Disruption,32623221,ARMS & ARMOUR,27972,378,33374,451,31672,428,30266.0,409,30636,414
Night Caller,32756855,ADVENTURING EQUIPMENT,109698,389,112518,399,119568,424,84318.0,299,106314,377
Bridle of Capturing,32816934,ADVENTURING EQUIPMENT,228150,390,216450,370,226980,388,203580.0,348,215865,369
Legendary Crafting Components,32836886,TOOLS & KITS,117747,441,117747,441,101994,382,110538.0,414,84105,315
Shortsword ,32846993,ARMS & ARMOUR,386732,436,869260,980,923367,1041,1196563.0,1349,419551,473
"Tent, two-person ",32877053,ADVENTURING EQUIPMENT,134668,514,81482,311,88032,336,116590.0,445,110040,420
Armour of Thunder Resistance,32884942,ARMS & ARMOUR,454848,618,805920,1095,636640,865,327520.0,445,300288,408
Arcane Firearm,32896445,ARMS & ARMOUR,69360,340,128928,632,219504,1076,341251.1999999999,1727,330684,1621
Efficient Quiver,33008220,ADVENTURING EQUIPMENT,279078,386,323904,448,357885,495,228468.0,316,248712,344
Ring of Fire Elemental Command,33023514,SUMMONING DEVICE,92199,421,95703,437,88914,406,80811.0,369,101835,465
Robe of Summer,33169013,ADVENTURING EQUIPMENT,298584,429,226896,326,217848,313,267960.0,385,338256,486
Eyes of Charming,33199458,ADVENTURING EQUIPMENT,149600,425,151712,431,139744,397,112992.0,321,141504,402
"Ram, portable ",33228833,TOOLS & KITS,315491,473,224112,336,292146,438,257462.0,386,294814,442
Staff of Striking,33238513,ARMS & ARMOUR,1095930,1107,820710,829,829620,838,320760.0,324,386100,390
Ioun Stone - Strength,33301896,ADVENTURING EQUIPMENT,48076,404,43792,368,34153,287,49028.0,412,54383,457
Perfume (vial) ,33324884,TOOLS & KITS,174472,386,137408,304,182156,403,141476.0,313,163624,362
Bloodwell Vial,33352728,POTIONS & SCROLLS,343256,401,351816,411,348392,407,354640.79999999993,425,325280,380
Flask or tankard (Set of 24),33356781,TOOLS & KITS,505428,547,397320,430,448140,485,340956.0,369,407484,441
Ox,33403849,ANIMALS & TRANSPORTATION,179490,310,206124,356,188754,326,250128.0,432,245496,424
Marvelous Pigments,33520803,ADVENTURING EQUIPMENT,295450,475,229518,369,251288,404,306024.0,492,255642,411
Immovable Rod,33554127,ADVENTURING EQUIPMENT,365040,390,413712,442,399672,427,348192.0,372,387504,414
Saxophone,33668877,MUSICAL INSTRUMENT,279718,433,310080,480,273258,423,268736.0,416,233206,361
Efreeti Bottle,33687080,SUMMONING DEVICE,18720,520,12456,346,14616,406,15480.0,430,13500,375
Horn of Blasting,33699893,ADVENTURING EQUIPMENT,23100,420,17655,321,17545,319,21670.0,394,24860,452
Mirror of Life Trapping,33707396,ADVENTURING EQUIPMENT,162190,331,163170,333,197960,404,182770.0,373,232750,475
Gloves of Soul Catching,33712610,ADVENTURING EQUIPMENT,100080,417,98160,409,101040,421,88560.0,369,123840,516
Spell Gem (Lapis Lazuli),33773232,POTIONS & SCROLLS,440154,494,338580,380,329670,370,427680.0,480,325215,365
Powered Armour,33820332,ARMS & ARMOUR,252168,399,199080,315,266704,422,208560.0,330,258488,409
Ring of Water Walking,33834592,JEWELRY,406002,471,323250,375,313768,364,288080.39999999997,344,285322,331
"Mirror, steel ",33879927,TOOLS & KITS,127376,419,96064,316,131328,432,135888.0,447,107008,352
Blanket ,33914310,ADVENTURING EQUIPMENT,4470,447,3810,381,4750,475,5590.0,559,4540,454
Armour of Fire vulnerability,33957547,ARMS & ARMOUR,236075,355,219450,330,245385,369,220115.0,331,271320,408
Block and tackle ,34004017,TOOLS & KITS,156140,370,169222,401,147700,350,178084.0,422,197918,469
Scimitar ,34058101,ARMS & ARMOUR,231336,378,241740,395,222156,363,1110168.0,1814,1244196,2033
Warhammer ,34060906,ARMS & ARMOUR,46410,442,86625,825,103950,990,60375.0,575,37170,354
Rod,34169263,ADVENTURING EQUIPMENT,336232,424,295789,373,342576,432,317200.0,400,356850,450
"Pick, miner’s ",34184863,TOOLS & KITS,162960,420,122996,317,189344,488,188180.0,485,161796,417
Gryphon,34204947,ANIMALS & TRANSPORTATION,222703,481,198164,428,149086,322,181959.0,393,219462,474
Candle (Set of 24),34205492,TOOLS & KITS,87660,487,75420,419,61200,340,80460.0,447,75600,420
"Scale, merchant’s ",34230441,TOOLS & KITS,143448,516,108420,390,110644,398,128992.0,464,128992,464
Staff of Withering,34388450,ARMS & ARMOUR,211864,568,496836,1332,412165,1105,152184.0,408,151065,405
Spellbook ,34400578,ADVENTURING EQUIPMENT,99533,413,90134,374,84109,349,93026.0,386,90616,376
Keycharm,34444696,ADVENTURING EQUIPMENT,8376,349,8472,353,6144,256,8136.0,339,8520,355
Bonecounter,34515563,ARMS & ARMOUR,301476,444,334068,492,224070,330,283822.0,418,292649,431
Instrument of Illusions,34576049,MUSICAL INSTRUMENT,262171,469,213538,382,243724,436,237519.10000000003,439,203476,364
Herbalism kit ,34580092,TOOLS & KITS,330776,346,374752,392,459836,481,341292.0,357,457924,479
Rapier ,34580629,ARMS & ARMOUR,226366,322,257298,366,256595,365,338846.0,482,265031,377
Blade of the Medusa,34608662,ARMS & ARMOUR,15429,417,13394,362,17057,461,10693.0,289,14282,386
Backpack ,34628933,ADVENTURING EQUIPMENT,231868,338,362208,528,306642,447,236670.0,345,326536,476
Eyes of Minute Seeing,34646704,ADVENTURING EQUIPMENT,316394,559,209420,370,268850,475,229230.0,405,220174,389
Wand of Binding,34656130,ARMS & ARMOUR,115443,381,115140,380,118776,392,144228.0,476,114534,378
Drum,34683060,MUSICAL INSTRUMENT,327864,456,244460,340,324988,452,316360.0,440,281848,392
Cloak of Billowing,34721160,ADVENTURING EQUIPMENT,288192,316,415872,456,350208,384,259008.0,284,426816,468
Glassblower’s tools ,34749770,TOOLS & KITS,8607,453,8379,441,7695,405,6308.0,332,9253,487
Armour of Vulnerability,34823250,ARMS & ARMOUR,877896,1233,1008904,1417,600928,844,260592.0,366,420080,590
Shield of the Uven Rune,34895661,ARMS & ARMOUR,244244,364,298595,445,382470,570,713273.0,1063,284504,424
Bucket and Rope,34931158,TOOLS & KITS,142884,378,139104,368,149310,395,127764.0,338,161406,427
Orb of Direction,34941649,ADVENTURING EQUIPMENT,196542,358,188307,343,258030,470,228384.0,416,252540,460
Wind Fan,34966583,ADVENTURING EQUIPMENT,295815,481,212175,345,263220,428,236775.0,385,206025,335
Ring of Shooting Stars,34967083,JEWELRY,109800,450,80764,331,87352,358,101748.0,417,84180,345
Basket ,34971208,TOOLS & KITS,24768,516,16992,354,22608,471,20112.0,419,18864,393
Polymorph Blade,35017251,ARMS & ARMOUR,80652,429,80088,426,83096,442,67492.0,359,89112,474
Robe of Stars,35126463,ADVENTURING EQUIPMENT,487622,509,334342,349,319972,334,382242.0,399,326678,341
Stone of Good Luck (Luckstone),35160665,ADVENTURING EQUIPMENT,193952,418,180496,389,189776,409,161936.0,349,202768,437
Medium Armour +2,35169939,ARMS & ARMOUR,163095,415,137943,351,195321,497,229905.0,585,250734,638
Scorpion Armor,35182377,ARMS & ARMOUR,52820,380,53932,388,45036,324,82427.0,593,78535,565
Lock (Box of 12),35213623,TOOLS & KITS,110630,370,141128,472,116311,389,105547.0,353,95381,319
Armour of Fire Resistance,35310614,ARMS & ARMOUR,153594,414,150255,405,142464,384,202937.0,547,165095,445
Duskcrusher,35315807,ARMS & ARMOUR,280730,419,276040,412,243880,364,238520.0,356,220430,329
Cleansing Stone,35321960,ADVENTURING EQUIPMENT,90153,477,79002,418,63315,335,81515.7,441,72009,381
Adamantine Weapon,35370224,ARMS & ARMOUR,451050,465,388970,401,435530,449,401580.0,414,374420,386
Berserker Axe,35438008,ARMS & ARMOUR,116936,376,102630,330,143993,463,115692.0,372,98276,316
Staff of Withering,35456758,ARMS & ARMOUR,103761,549,259686,1374,183519,971,81837.0,433,90531,479
Cubic Gate,35464093,SUMMONING DEVICE,187682,449,209836,502,148390,355,106506.40000000001,264,164692,394
Disguise kit ,35495994,TOOLS & KITS,182649,321,232152,408,203702,358,269706.0,474,242963,427
Staff of Power,35519300,ARMS & ARMOUR,169226,443,137520,360,206662,541,228856.20000000004,613,326992,856
Galders Trusty Pipe,35556033,ADVENTURING EQUIPMENT,15010,395,16568,436,17100,450,13832.0,364,11932,314
Dragonchess set,35598850,TOOLS & KITS,32256,384,26460,315,38892,463,30828.0,367,36120,430
Light Armour +3,35712262,ARMS & ARMOUR,400664,1256,212773,667,252329,791,268279.0,841,225533,707
Chain (10 feet) ,35716759,TOOLS & KITS,248332,362,264110,385,266854,389,307328.0,448,296352,432
Slippers of Spider Climbing,35777418,ARMS & ARMOUR,348552,412,351936,416,340938,403,335862.0,397,512676,606
Hell Hound Cloak,35783708,ADVENTURING EQUIPMENT,331848,396,370396,442,315926,377,306456.60000000003,376,286596,342
Circlet of Blasting,35799970,ADVENTURING EQUIPMENT,143112,356,171252,426,186126,463,162408.0,404,163614,407
Illuminators Tattoo Enchantment,35842018,POTIONS & SCROLLS,231120,360,254232,396,284406,443,249738.0,389,230478,359
Chime of Opening,35864753,ADVENTURING EQUIPMENT,57480,479,40680,339,46920,391,44280.0,369,50280,419
Rope of Mending,35927267,ADVENTURING EQUIPMENT,279104,392,267712,376,259168,364,281952.0,396,304024,427
Pony,36006736,ANIMALS & TRANSPORTATION,118829,359,150605,455,127435,385,116181.0,351,109230,330
Ring of Mind Shielding,36078448,JEWELRY,282490,530,210535,395,171626,322,234893.09999999998,449,237185,445
Staff of Flowers,36092724,ARMS & ARMOUR,213885,485,106281,241,223146,506,239904.0,544,209916,476
Frost Brand,36155749,ARMS & ARMOUR,72436,364,215716,1084,177906,894,81988.0,412,65272,328
Infernal Tack,36236494,SUMMONING DEVICE,233033,467,175149,351,228542,458,208582.0,418,207584,416
Woodcarvers tools ,36284220,TOOLS & KITS,193477,323,268951,449,183294,306,235407.0,393,189883,317
Armour of Poison Resistance,36291052,ARMS & ARMOUR,30312,421,33264,462,21240,295,30672.0,426,31608,439
Protective Verses,36347722,ADVENTURING EQUIPMENT,97650,310,135450,430,110880,352,140175.0,445,117180,372
Potion of Cloud Giant Strength,36405257,POTIONS & SCROLLS,328440,460,237762,333,204204,286,255612.0,358,250614,351
Belt of Fire Giant Strength,36463932,ADVENTURING EQUIPMENT,311420,460,267415,395,228149,337,260441.9,399,302619,447
Rope of Climbing,36484229,ADVENTURING EQUIPMENT,41958,518,36936,456,22032,272,33550.2,423,36369,449
Censer of Controlling Air Elementals,36531716,SUMMONING DEVICE,25960,472,18755,341,24805,451,20240.0,368,21505,391
Ironfang,36560793,ARMS & ARMOUR,146864,1096,199794,1491,215874,1611,205690.0,1535,171654,1281
Spies' Murmur,36606144,ADVENTURING EQUIPMENT,205640,485,144584,341,169176,399,128896.0,304,190800,450
Rings of Shared Suffering,36612204,JEWELRY,318276,421,235872,312,331128,438,326592.0,432,299376,396
"Clothes, costume ",36632539,ADVENTURING EQUIPMENT,2130,355,2364,394,2466,411,2346.0,391,2052,342
Component pouch ,36640814,ADVENTURING EQUIPMENT,52480,410,45824,358,45056,352,60672.0,474,43776,342
Morningstar ,36711109,ARMS & ARMOUR,1416069,1611,1155006,1314,1314984,1496,1035462.0,1178,733086,834
Pouch ,36740214,TOOLS & KITS,327320,490,314628,471,233800,350,306612.0,459,297928,446
Scroll of Protection (Beasts),36814940,POTIONS & SCROLLS,313600,392,374400,468,384000,480,287520.0,369,286400,358
Dice set,36940965,TOOLS & KITS,20335,415,21070,430,19992,408,24990.0,510,22883,467
Pack Saddle,36941851,ANIMALS & TRANSPORTATION,304468,412,284515,385,334028,452,256433.0,347,362110,490
"Ball bearings (bag of 1,000) ",36977230,ADVENTURING EQUIPMENT,218960,460,210868,443,165172,347,161364.0,339,226100,475
Glass Bottle (Crate),36979926,POTIONS & SCROLLS,100141,419,94644,396,89386,374,100619.0,421,110657,463
Dragonchess set,36997376,TOOLS & KITS,137700,405,120700,355,115940,341,167960.0,494,121380,357
War Steeder,37070424,ANIMALS & TRANSPORTATION,79323,411,101904,528,65234,338,66778.0,346,73726,382
Light hammer,37081717,ARMS & ARMOUR,547348,772,618957,873,610449,861,605486.0,854,263039,371
Very Rare Crafting Components,37120446,TOOLS & KITS,194157,423,154224,336,202878,442,170748.0,372,179928,392
Cloak of Billowing,37147749,ADVENTURING EQUIPMENT,126351,417,100899,333,101505,335,141198.0,466,93930,310
Cli lyre,37264324,MUSICAL INSTRUMENT,66452,449,54908,371,56240,380,62604.0,423,58312,394
Crowbar ,37279859,TOOLS & KITS,368180,410,444510,495,393324,438,363690.0,405,352016,392
Shield +3,37379496,ARMS & ARMOUR,82460,434,55290,291,100700,530,143165.0,781,316730,1667
Ioun Stone - Historical Knowledge,37381000,ADVENTURING EQUIPMENT,267072,428,237120,380,279552,448,277056.0,444,262704,421
Yew wand (Druidic focus),37392969,ADVENTURING EQUIPMENT,69524,364,66659,349,70670,370,63603.0,333,66468,348
Tankard of Sobriety,37401508,ADVENTURING EQUIPMENT,180184,404,158776,356,202930,455,179292.0,402,149410,335
Guardian Emblem,37481679,ADVENTURING EQUIPMENT,40341,339,43911,369,61166,514,50575.0,425,51408,432
Infiltrators Key,37536629,ADVENTURING EQUIPMENT,294690,470,256443,409,227601,363,243903.0,389,225720,360
"Clothes, costume ",37537061,ADVENTURING EQUIPMENT,188964,362,195750,375,193140,370,196272.0,376,264132,506
Block and tackle ,37596619,TOOLS & KITS,221331,353,225720,360,221331,353,286539.0,457,252054,402
"Case, crossbow bolt ",37650365,TOOLS & KITS,27081,459,19293,327,25370,430,22066.0,374,22833,387
Defender,37682915,ARMS & ARMOUR,325983,399,375820,460,348859,427,290525.2,364,305558,374
Sword of Answering,37741575,ARMS & ARMOUR,293475,325,364812,404,465045,515,547218.0,606,590562,654
"Spikes, iron (10) ",37795030,TOOLS & KITS,21594,354,23363,383,27816,456,27328.0,448,22204,364
"Rope, hempen (50 feet) ",37799811,TOOLS & KITS,177662,421,156562,371,191588,454,157828.0,374,156140,370
Glaive ,37900037,ARMS & ARMOUR,91584,848,83268,771,52920,490,39744.0,368,41472,384
Staff,37922264,ADVENTURING EQUIPMENT,116508,399,106872,366,103076,353,103368.0,354,108624,372
Dust of Dryness,37953286,ADVENTURING EQUIPMENT,196944,528,165612,444,189857,509,134839.5,367,145470,390
Serpents Fang,37966304,ARMS & ARMOUR,268570,502,370755,693,332770,622,216140.0,404,205440,384
Holy water (flask) ,37987543,POTIONS & SCROLLS,54625,475,40595,353,41860,364,41630.0,362,40595,353
Ioun Stone - Mastery,38294329,ADVENTURING EQUIPMENT,384090,413,338520,364,507780,546,357120.0,384,377580,406
Spellshard,38305168,ADVENTURING EQUIPMENT,207000,345,188400,314,231000,385,141600.0,236,213600,356
Gem of Brightness,38309342,ADVENTURING EQUIPMENT,186760,290,242788,377,296240,460,260176.0,404,293664,456
Bag of Holding,38324967,ADVENTURING EQUIPMENT,382850,403,379050,399,302100,318,353400.0,372,396150,417
"Clothes, fine ",38335423,ADVENTURING EQUIPMENT,200718,486,133812,324,159831,387,183372.0,444,148267,359
Bookmark,38337199,ARMS & ARMOUR,359470,515,432062,619,554212,794,209190.6,313,291764,418
Staff of Fire,38370611,ARMS & ARMOUR,1050827,1069,1457789,1483,1211056,1232,2154736.0,2192,1588528,1616
Bit & Bridle,38403298,ANIMALS & TRANSPORTATION,388367,509,338772,444,301385,395,314356.0,412,250264,328
Armour of Fire vulnerability,38423058,ARMS & ARMOUR,86072,424,71050,350,79982,394,71253.0,351,64351,317
Adamantine Armour,38525952,ARMS & ARMOUR,679168,896,887618,1171,966450,1275,1811620.0,2390,980852,1294
Saint Markovias Thighbone,38574834,ADVENTURING EQUIPMENT,448836,452,434934,438,343578,346,379326.0,382,467703,471
Robe of Summer,38642243,ADVENTURING EQUIPMENT,101598,413,88560,360,117834,479,90085.19999999998,375,107502,437
Shield of the Uven Rune,38644077,ARMS & ARMOUR,167200,380,261360,594,284680,647,420640.0,956,172040,391
Hellsteel Martial Ranged Weapon,38653167,ARMS & ARMOUR,540737,571,395846,418,303040,320,650589.0,687,430885,455
Parchment (twenty pages) ,38680171,POTIONS & SCROLLS,274620,398,242880,352,253230,367,317400.0,460,246330,357
Weapon of Warning,38711635,ARMS & ARMOUR,114456,456,99396,396,79818,318,94125.0,375,171935,685
Donkey,38730137,ANIMALS & TRANSPORTATION,278880,498,258720,462,234640,419,229600.0,410,248080,443
Piton (set of 10),38734623,TOOLS & KITS,297709,463,203188,316,243054,378,233409.0,363,259129,403
Riding Steeder,38800569,ANIMALS & TRANSPORTATION,237075,435,159685,293,244160,448,251790.0,462,252335,463
Nightfall Pearl,38923580,ADVENTURING EQUIPMENT,415800,420,360360,364,297990,301,368280.0,380,409860,414
Sekolahian Worshiping Statuette,39018115,ADVENTURING EQUIPMENT,62856,388,87480,540,66582,411,63666.0,393,68202,421
Shield of the Hidden Lord,39057663,ARMS & ARMOUR,226688,704,332948,1034,361928,1124,245042.0,761,122360,380
Armour of Acid vulnerability,39099379,ARMS & ARMOUR,256896,446,273024,474,183168,318,263232.0,457,275328,478
Lock (Box of 12),39299442,TOOLS & KITS,80304,478,63672,379,64344,383,68712.0,409,76272,454
Greatclub,39400591,ARMS & ARMOUR,193154,437,187850,425,300560,680,320892.0,726,316030,715
Hellsteel Simple Ranged Weapon,39518671,ARMS & ARMOUR,338840,430,305744,388,300228,381,264768.0,336,290772,369
Pig,39556221,ANIMALS & TRANSPORTATION,32760,420,34242,439,31590,405,29328.0,376,30654,393
Periapt of Proof against Poison,39600538,ADVENTURING EQUIPMENT,242725,365,300580,452,291270,438,285950.0,430,237405,357
Staff of the Python,39636609,ARMS & ARMOUR,204595,415,278052,564,330803,671,256853.0,521,196707,399
Moonblade,39639382,ARMS & ARMOUR,90744,456,80993,407,75222,378,86963.0,437,65073,327
Gryphon,39652972,ANIMALS & TRANSPORTATION,175536,414,190376,449,147976,349,198008.0,467,160272,378
"Poison, Basic (4L)",39671811,POTIONS & SCROLLS,214490,482,192240,432,161980,364,132165.0,297,169100,380
Rod of the Pact Keeper +1,39673365,ADVENTURING EQUIPMENT,380090,382,314420,316,464665,467,446755.0,449,280590,282
Devastation Orb,39723621,ARMS & ARMOUR,37905,399,34865,367,43035,453,39330.0,414,42655,449
Instrument of Scribing,39769434,MUSICAL INSTRUMENT,427788,466,423198,461,335070,365,324054.0,353,481032,524
Efficient Quiver,39779371,ADVENTURING EQUIPMENT,226432,488,190704,411,194416,419,176969.6,394,168432,363
Ivory Goats of Wondrous Power,39781545,SUMMONING DEVICE,120901,319,156148,412,173203,457,156148.0,412,128860,340
Fishing tackle ,39847571,TOOLS & KITS,153900,450,93366,273,139536,408,130986.0,383,158004,462
Armour of Psychic Resistance,39881923,ARMS & ARMOUR,83980,380,68952,312,60333,273,112931.0,511,142103,643
Pot of Awakening,39987276,POTIONS & SCROLLS,233856,336,278400,400,282576,406,301715.99999999994,444,295104,424
Spell Scroll Level 5,40010338,POTIONS & SCROLLS,72611,451,68425,425,66654,414,58443.0,363,58604,364
Potion of Watchful Rest,40061561,POTIONS & SCROLLS,175460,283,249240,402,279620,451,296360.0,490,283960,458
Rapier ,40084553,ARMS & ARMOUR,177856,397,159488,356,187264,418,160832.0,359,165760,370
Bracer of Flying Daggers,40149409,ARMS & ARMOUR,121242,501,323554,1337,201102,831,75625.0,320,83490,345
Spell Scroll Level 5,40154832,POTIONS & SCROLLS,339570,490,307692,444,282051,407,221552.10000000003,331,298683,431
Staff of Thunder and Lightning,40210867,ARMS & ARMOUR,467208,504,400464,432,407880,440,416037.60000000003,456,409734,442
Net,40219284,ARMS & ARMOUR,992266,1219,589336,724,226292,278,246642.0,303,345136,424
Piton (set of 10),40292466,TOOLS & KITS,390104,403,327184,338,443344,458,327184.0,338,433664,448
Oil (flask) ,40332260,POTIONS & SCROLLS,206896,386,224048,418,201000,375,216544.0,404,206896,386
Sling bullets (100) ,40345627,ARMS & ARMOUR,462024,558,758448,916,856980,1035,752652.0,909,426420,515
Wand of the War Mage +2,40406520,ARMS & ARMOUR,336138,363,351880,380,310210,335,375956.0,406,442628,478
Scroll of Protection (Beasts),40531742,POTIONS & SCROLLS,181929,447,154253,379,134310,330,195767.0,494,218152,536
Doss lute,40566466,MUSICAL INSTRUMENT,76028,332,100531,439,100302,438,97783.0,427,120454,526
Blowgun needles (50) ,40617783,ARMS & ARMOUR,90720,405,147616,659,171136,764,208992.0,933,118048,527
Spellguard Shield,40633611,ARMS & ARMOUR,324990,414,326560,416,211950,270,281815.0,359,286525,365
Stormgirdle,40833858,ADVENTURING EQUIPMENT,168744,356,211404,446,202398,427,197658.0,417,168744,356
Chalk (Box of 50),40851359,TOOLS & KITS,257232,368,253737,363,255834,366,215991.0,309,314550,450
Inquisitives Goggles,40915228,ADVENTURING EQUIPMENT,186543,423,186984,424,194922,442,134064.0,304,180369,409
Armour of Lightning vulnerability,40983952,ARMS & ARMOUR,79515,465,72162,422,71136,416,71307.0,417,71307,417
Navigator’s tools ,41048112,TOOLS & KITS,8763,381,9062,394,7222,314,8418.0,366,9545,415
Everbright Lantern,41061781,ADVENTURING EQUIPMENT,113578,521,96792,444,66490,305,96574.0,443,95702,439
Smith’s tools ,41220871,TOOLS & KITS,197472,408,209088,432,211024,436,181016.0,374,256036,529
Cook’s utensils ,41283382,TOOLS & KITS,134246,446,108962,362,138460,460,124313.0,413,165851,551
Ring mail ,41412553,ARMS & ARMOUR,308448,476,317520,490,241704,373,406296.0,627,344088,531
Half plate ,41444294,ARMS & ARMOUR,83029,1051,108783,1377,65570,830,37683.0,477,43055,545
Lantern of Tracking,41480800,ADVENTURING EQUIPMENT,232505,455,204400,400,217175,425,156877.0,307,211043,413
Lightbringer,41510130,ARMS & ARMOUR,215475,425,230685,455,223080,440,218517.0,431,203814,402
Feather Token (Swan Boat),41566197,ADVENTURING EQUIPMENT,73636,449,67076,409,64452,393,62812.00000000002,399,86428,527
Cloak of Arachnida,41619155,ADVENTURING EQUIPMENT,93615,395,108546,458,91008,384,90060.0,380,86505,365
Amulet of Protection from Turning,41646860,JEWELRY,261129,451,225810,390,235074,406,253891.50000000003,452,179490,310
Amulet of Health,41655888,JEWELRY,348624,432,267117,331,260661,323,296976.0,368,284871,353
Decanter of Endless Water,41671320,ADVENTURING EQUIPMENT,414334,446,372529,401,376245,405,418979.0,451,415263,447
Sling ,41746924,ARMS & ARMOUR,198340,470,423266,1003,534252,1266,397946.0,943,205092,486
Soap (Crate),41794941,TOOLS & KITS,242556,492,209032,424,184382,374,185368.0,376,203116,412
Armour of Radiant vulnerability,41901083,ARMS & ARMOUR,316090,433,243090,333,241630,331,292730.0,401,275210,377
Bronze Horn of Valhalla,41917361,SUMMONING DEVICE,347852,437,284968,358,247556,311,288948.0,363,269048,338
Oathbow,41936666,ARMS & ARMOUR,1029384,1044,600474,609,357918,363,407218.0,413,407218,413
Leather Golem Armour,41981887,ARMS & ARMOUR,84227,403,78166,374,86526,414,74195.0,355,77539,371
Necklace of Adaptation,42020315,JEWELRY,263560,440,250382,418,264758,442,196472.0,328,270748,452
Quarterstaff ,42137416,ARMS & ARMOUR,799722,1154,1372140,1980,1341648,1936,1345113.0,1941,781011,1127
Orb,42151662,ADVENTURING EQUIPMENT,151792,424,134250,375,147496,412,185444.0,518,132460,370
Bell ,42295086,TOOLS & KITS,247000,380,321750,495,209950,323,276250.0,425,239200,368
Badge of the Watch,42314405,JEWELRY,385880,440,403420,460,277132,316,434992.0,496,299057,341
Planecallers Codex,42314648,ADVENTURING EQUIPMENT,167902,469,107758,301,156446,437,138188.0,386,115634,323
Imbued Wood Focus,42359086,ADVENTURING EQUIPMENT,19229,469,13489,329,16974,414,12792.0,312,17548,428
Powered Armour,42557137,ARMS & ARMOUR,404992,448,325440,360,415840,460,358978.4,412,301032,333
Holy Symbol of Ravenkind,42615262,ADVENTURING EQUIPMENT,46440,360,51987,403,48504,376,49665.0,385,44892,348
