Type,Key Account,Region,ProductPricesInCP_split_23,ProductPricesInCP_split_19,growth_tot
TOOLS & KITS,Three Wishes,Waterdhavian Empire,62789.0,103827.0,-0.3952536430793532
JEWELRY,Three Wishes,Thayan Empire,51750.0,64355.0,-0.19586667702587213
ADVENTURING EQUIPMENT,Black Phoenix,Amnian Empire,802766.0,1085816.0,-0.2606795258128449
TOOLS & KITS,Three Wishes,United Moonshae Empire,3000.0,12253.0,-0.7551620011425774
MUSICAL INSTRUMENT,Bardic College Union,Halruaan Empire,85915.0,60396.0,0.42252798198556185
JEWELRY,Three Wishes,Southern Empire,1960.0,6443.0,-0.6957938848362564
TOOLS & KITS,Zhentarim,Dwarven Empire,80365.0,111919.0,-0.28193604303112074
ADVENTURING EQUIPMENT,Bardic College Union,Purple Dragon Empire,269875.0,378775.0,-0.28750577519635667
JEWELRY,Zhentarim,Bloodlands Empire,65179.0,28267.0,1.305833657621962
TOOLS & KITS,Zhentarim,Halruaan Empire,266385.0,254821.0,0.04538087520259326
JEWELRY,Zhentarim,Purple Dragon Empire,43136.0,31593.0,0.36536574557655177
JEWELRY,Zhentarim,Old Empire,8136.0,,
ADVENTURING EQUIPMENT,Bardic College Union,Amnian Empire,751115.0,651504.0,0.15289391930057228
TOOLS & KITS,Zhentarim,Waterdhavian Empire,37769.0,28539.0,0.32341707838396583
ADVENTURING EQUIPMENT,Bardic College Union,Bloodlands Empire,87239.0,159738.0,-0.45386194894139154
TOOLS & KITS,Zhentarim,Thayan Empire,91599.0,99353.0,-0.07804495083188223
JEWELRY,Zhentarim,Southern Empire,6594.0,9625.0,-0.3149090909090909
JEWELRY,Zhentarim,Halruaan Empire,120701.0,100175.0,0.2049014225106065
ADVENTURING EQUIPMENT,Bardic College Union,Calim Empire,550001.0,476213.0,0.15494747098462236
ADVENTURING EQUIPMENT,Black Phoenix,Bloodlands Empire,40809.0,197395.0,-0.7932622406849211
TOOLS & KITS,Zhentarim,Southern Empire,6614.0,24818.0,-0.7334998791199936
JEWELRY,Zhentarim,Dwarven Empire,20115.0,36446.0,-0.4480875816276134
ADVENTURING EQUIPMENT,Bardic College Union,Dwarven Empire,159628.0,254676.0,-0.37321145298339853
TOOLS & KITS,Zhentarim,Purple Dragon Empire,142516.0,116961.0,0.21849163396345794
JEWELRY,Zhentarim,Waterdhavian Empire,23478.0,15534.0,0.511394360757049
ADVENTURING EQUIPMENT,Bardic College Union,Halruaan Empire,603992.0,450611.0,0.3403845001564543
TOOLS & KITS,Zhentarim,Old Empire,8169.0,16056.0,-0.4912182361733931
JEWELRY,Zhentarim,Calim Empire,52463.0,71154.0,-0.26268375635944574
JEWELRY,Zhentarim,Western Empire,13226.0,4328.0,2.0559149722735675
ADVENTURING EQUIPMENT,Bardic College Union,Old Empire,79880.0,194569.0,-0.5894515570311818
JEWELRY,Zhentarim,Thayan Empire,46001.0,34941.0,0.31653358518645724
TOOLS & KITS,Order of the Gauntlet,Old Empire,22063.0,34149.0,-0.35391958768924414
TOOLS & KITS,Three Wishes,Thayan Empire,71457.0,126514.0,-0.4351850388099341
JEWELRY,Three Wishes,Purple Dragon Empire,116216.0,67164.0,0.7303317253290453
ADVENTURING EQUIPMENT,Black Phoenix,Waterdhavian Empire,89316.0,132483.0,-0.32583048391114333
TOOLS & KITS,Three Wishes,Bloodlands Empire,90306.0,101239.0,-0.10799197937553706
MUSICAL INSTRUMENT,Black Phoenix,Amnian Empire,59791.0,139768.0,-0.5722125236105546
JEWELRY,Three Wishes,Bloodlands Empire,39266.0,27006.0,0.45397319114270895
ADVENTURING EQUIPMENT,Bottle's Up,Amnian Empire,895974.0,1014224.0,-0.11659160106643107
TOOLS & KITS,Three Wishes,Amnian Empire,344278.0,291657.0,0.18042083680487697
MUSICAL INSTRUMENT,Black Phoenix,Bloodlands Empire,1677.0,17268.0,-0.9028839471855455
ADVENTURING EQUIPMENT,Bottle's Up,Bloodlands Empire,131510.0,207735.0,-0.3669338339711652
TOOLS & KITS,Sprite's & Spirits,Western Empire,38224.0,10491.0,2.643503955771614
JEWELRY,Three Wishes,Amnian Empire,127926.0,128149.0,-0.0017401618428547483
ADVENTURING EQUIPMENT,Bottle's Up,Calim Empire,577122.0,566459.0,0.018823957250215795
TOOLS & KITS,Sprite's & Spirits,Waterdhavian Empire,39890.0,97786.0,-0.5920683942486655
MUSICAL INSTRUMENT,Black Phoenix,Calim Empire,50166.0,63003.0,-0.20375220227608204
JEWELRY,Sprite's & Spirits,Western Empire,17700.0,3429.0,4.16185476815398
ADVENTURING EQUIPMENT,Bottle's Up,Dwarven Empire,70505.0,179835.0,-0.6079461728806962
TOOLS & KITS,Sprite's & Spirits,United Moonshae Empire,27500.0,,
MUSICAL INSTRUMENT,Black Phoenix,Dwarven Empire,25741.0,20735.0,0.24142753797926209
JEWELRY,Sprite's & Spirits,Waterdhavian Empire,40812.0,33440.0,0.22045454545454546
TOOLS & KITS,Sprite's & Spirits,Thayan Empire,135296.0,126516.0,0.06939833696923703
JEWELRY,Three Wishes,Calim Empire,88024.0,130033.0,-0.32306414525543514
MUSICAL INSTRUMENT,Bardic College Union,Western Empire,3701.0,4314.0,-0.14209550301344465
TOOLS & KITS,Three Wishes,Calim Empire,292026.0,284388.0,0.026857673319549358
ADVENTURING EQUIPMENT,Black Phoenix,United Moonshae Empire,63818.0,,
ADVENTURING EQUIPMENT,Black Phoenix,Calim Empire,590560.0,713098.0,-0.17183893377908788
TOOLS & KITS,Three Wishes,Southern Empire,35776.0,18467.0,0.9372935506579303
MUSICAL INSTRUMENT,Bardic College Union,Purple Dragon Empire,17948.0,54316.0,-0.6695632962662935
ADVENTURING EQUIPMENT,Black Phoenix,Dwarven Empire,154101.0,279115.0,-0.4478942371423965
TOOLS & KITS,Three Wishes,Purple Dragon Empire,256668.0,229689.0,0.1174588247586954
JEWELRY,Three Wishes,Old Empire,13352.0,7828.0,0.7056719468574348
ADVENTURING EQUIPMENT,Black Phoenix,Halruaan Empire,794086.0,863274.0,-0.08014604864735875
TOOLS & KITS,Three Wishes,Old Empire,24152.0,56231.0,-0.5704860308370827
MUSICAL INSTRUMENT,Bardic College Union,Thayan Empire,55524.0,33769.0,0.6442299150108088
MUSICAL INSTRUMENT,Bardic College Union,Old Empire,6926.0,6609.0,0.047964896353457354
JEWELRY,Three Wishes,None Empire,3925.0,,
TOOLS & KITS,Three Wishes,None Empire,31264.0,41161.0,-0.24044605330288382
MUSICAL INSTRUMENT,Bardic College Union,United Moonshae Empire,5192.0,,
JEWELRY,Three Wishes,Halruaan Empire,145513.0,144583.0,0.0064322914865508896
ADVENTURING EQUIPMENT,Black Phoenix,Purple Dragon Empire,782105.0,420072.0,0.861835590089318
TOOLS & KITS,Three Wishes,Halruaan Empire,322415.0,319414.0,0.009395330198425977
MUSICAL INSTRUMENT,Bardic College Union,Waterdhavian Empire,2290.0,559.0,3.0966010733452594
ADVENTURING EQUIPMENT,Black Phoenix,Thayan Empire,296804.0,191627.0,0.5488631560270734
TOOLS & KITS,Three Wishes,Dwarven Empire,53541.0,91551.0,-0.41517842514008585
JEWELRY,Three Wishes,Dwarven Empire,27367.0,32252.0,-0.15146347513332503
ADVENTURING EQUIPMENT,Black Phoenix,Old Empire,58165.0,130739.0,-0.5551059744988106
ADVENTURING EQUIPMENT,Nobility,Purple Dragon Empire,653077.0,572322.0,0.14110063915068793
MUSICAL INSTRUMENT,Clothes Contact,Dwarven Empire,37368.0,19162.0,0.9501095919006366
JEWELRY,Private Buyer,Dwarven Empire,56116.0,111838.0,-0.49823852357874787
ADVENTURING EQUIPMENT,No Key Account,Calim Empire,8386297.0,8202675.0,0.022385624201860965
MUSICAL INSTRUMENT,Lionshield Coster,Halruaan Empire,50014.0,29819.0,0.6772527583084611
JEWELRY,Nobility,Amnian Empire,133183.0,136316.0,-0.02298336218785757
TOOLS & KITS,Night's Knights,Waterdhavian Empire,54462.0,105607.0,-0.48429554859052903
ADVENTURING EQUIPMENT,No Key Account,Dwarven Empire,1289818.0,2209379.0,-0.4162079027636273
MUSICAL INSTRUMENT,Lionshield Coster,None Empire,10896.0,9320.0,0.16909871244635188
TOOLS & KITS,Night's Knights,United Moonshae Empire,34185.0,36566.0,-0.0651151342777444
JEWELRY,No Key Account,Western Empire,110567.0,178958.0,-0.3821622950636462
ADVENTURING EQUIPMENT,No Key Account,Eastern Empire,1111145.0,1198653.0,-0.0730052817621113
TOOLS & KITS,Night's Knights,Thayan Empire,111563.0,101894.0,0.09489273166231582
MUSICAL INSTRUMENT,Lionshield Coster,Old Empire,8946.0,6891.0,0.29821506312581625
ADVENTURING EQUIPMENT,No Key Account,Halruaan Empire,6874509.0,6628452.0,0.03712133692753605
JEWELRY,No Key Account,Waterdhavian Empire,332191.0,402127.0,-0.17391520589266574
TOOLS & KITS,Night's Knights,Purple Dragon Empire,135257.0,110581.0,0.22314864217180164
ADVENTURING EQUIPMENT,No Key Account,New Neverwinter Empire,3875496.0,3722484.0,0.041104810658689095
MUSICAL INSTRUMENT,Lionshield Coster,Purple Dragon Empire,26447.0,57338.0,-0.5387526596672364
JEWELRY,No Key Account,United Moonshae Empire,1030995.0,1283013.0,-0.1964266924809024
TOOLS & KITS,Night's Knights,Old Empire,9910.0,26806.0,-0.6303066477654257
ADVENTURING EQUIPMENT,No Key Account,None Empire,2625080.0,2257851.0,0.16264536499529858
TOOLS & KITS,Night's Knights,Western Empire,15925.0,13450.0,0.18401486988847582
MUSICAL INSTRUMENT,Lionshield Coster,Southern Empire,5859.0,2575.0,1.2753398058252428
JEWELRY,Nobility,Bloodlands Empire,18977.0,42203.0,-0.550340023221098
MUSICAL INSTRUMENT,Lionshield Coster,Dwarven Empire,8817.0,8557.0,0.030384480542246184
ADVENTURING EQUIPMENT,Night's Knights,Purple Dragon Empire,308521.0,305543.0,0.00974658231410963
TOOLS & KITS,No Key Account,Halruaan Empire,2627566.0,2445732.0,0.07434747552062126
JEWELRY,Nobility,Old Empire,17593.0,15155.0,0.1608709996700759
ADVENTURING EQUIPMENT,Night's Knights,Thayan Empire,314746.0,274898.0,0.14495558352552584
TOOLS & KITS,No Key Account,Eastern Empire,412613.0,407684.0,0.012090246367284507
MUSICAL INSTRUMENT,Lionshield Coster,Amnian Empire,60039.0,47122.0,0.2741182462544034
ADVENTURING EQUIPMENT,Night's Knights,United Moonshae Empire,45359.0,136235.0,-0.6670532535692002
JEWELRY,Nobility,Halruaan Empire,122510.0,92977.0,0.3176376953440099
TOOLS & KITS,No Key Account,Dwarven Empire,453414.0,742839.0,-0.3896200926445703
ADVENTURING EQUIPMENT,Night's Knights,Waterdhavian Empire,207443.0,168796.0,0.22895684731865673
MUSICAL INSTRUMENT,Lionshield Coster,Bloodlands Empire,45272.0,36308.0,0.2468877382395065
JEWELRY,Nobility,Dwarven Empire,15970.0,16980.0,-0.059481743227326245
TOOLS & KITS,No Key Account,Calim Empire,2929235.0,2823021.0,0.03762423304679641
ADVENTURING EQUIPMENT,Night's Knights,Western Empire,69456.0,64336.0,0.07958219348420781
MUSICAL INSTRUMENT,Lionshield Coster,Calim Empire,21413.0,55612.0,-0.614957203481263
TOOLS & KITS,No Key Account,Bloodlands Empire,2437454.0,2162160.0,0.1273236023236024
JEWELRY,Nobility,Calim Empire,95248.0,77558.0,0.22808736687382347
ADVENTURING EQUIPMENT,No Key Account,Amnian Empire,12105081.0,12458338.0,-0.028355066301781195
TOOLS & KITS,No Key Account,Amnian Empire,4411646.0,4221781.0,0.04497272596565294
ADVENTURING EQUIPMENT,No Key Account,Bloodlands Empire,6302434.0,6480591.0,-0.02749085692956088
TOOLS & KITS,Night's Knights,None Empire,18635.0,12699.0,0.4674383809748799
JEWELRY,No Key Account,Thayan Empire,1357575.0,1333828.0,0.017803644847761424
ADVENTURING EQUIPMENT,No Key Account,Old Empire,933546.0,1350222.0,-0.3085981416389305
MUSICAL INSTRUMENT,Night's Knights,Bloodlands Empire,23035.0,11732.0,0.9634333446982613
TOOLS & KITS,Lionshield Coster,United Moonshae Empire,11381.0,,
JEWELRY,No Key Account,Halruaan Empire,912184.0,966345.0,-0.056047270902214064
ADVENTURING EQUIPMENT,Nobility,Bloodlands Empire,325442.0,296817.0,0.09643989394138486
TOOLS & KITS,Lionshield Coster,Thayan Empire,135559.0,151625.0,-0.10595877988458369
MUSICAL INSTRUMENT,Night's Knights,Calim Empire,83796.0,54456.0,0.5387836051123842
ADVENTURING EQUIPMENT,Nobility,Calim Empire,605404.0,451521.0,0.3408102834641136
JEWELRY,No Key Account,Eastern Empire,162678.0,165381.0,-0.016344078219384328
TOOLS & KITS,Lionshield Coster,Southern Empire,22517.0,36402.0,-0.38143508598428655
MUSICAL INSTRUMENT,Night's Knights,Dwarven Empire,7419.0,16101.0,-0.5392211663871809
ADVENTURING EQUIPMENT,Nobility,Dwarven Empire,138525.0,200960.0,-0.3106837181528662
TOOLS & KITS,Lionshield Coster,Purple Dragon Empire,171861.0,152396.0,0.12772644951311052
JEWELRY,No Key Account,Dwarven Empire,161644.0,301550.0,-0.46395622616481513
ADVENTURING EQUIPMENT,Nobility,Halruaan Empire,812509.0,895249.0,-0.09242121465648101
MUSICAL INSTRUMENT,Night's Knights,Halruaan Empire,78125.0,55547.0,0.40646659585576184
TOOLS & KITS,Lionshield Coster,Old Empire,12409.0,57453.0,-0.7840147598906932
JEWELRY,No Key Account,Calim Empire,1143111.0,1087408.0,0.051225482983388027
ADVENTURING EQUIPMENT,Nobility,Old Empire,150908.0,206393.0,-0.2688317917758839
TOOLS & KITS,Lionshield Coster,None Empire,7608.0,9278.0,-0.17999568872601857
ADVENTURING EQUIPMENT,Nobility,Amnian Empire,860652.0,867945.0,-0.008402606155920034
TOOLS & KITS,Lionshield Coster,Waterdhavian Empire,62147.0,80806.0,-0.23091107096007724
JEWELRY,No Key Account,New Neverwinter Empire,581559.0,662991.0,-0.12282519672212744
ADVENTURING EQUIPMENT,No Key Account,Western Empire,1101618.0,1214515.0,-0.09295644763547584
TOOLS & KITS,Night's Knights,Halruaan Empire,231556.0,286244.0,-0.1910537862802364
MUSICAL INSTRUMENT,Lionshield Coster,Thayan Empire,33122.0,37756.0,-0.1227354592647526
ADVENTURING EQUIPMENT,No Key Account,Purple Dragon Empire,8474014.0,8401141.0,0.00867417890022315
JEWELRY,No Key Account,Southern Empire,65519.0,67646.0,-0.031443100848534966
TOOLS & KITS,Night's Knights,Dwarven Empire,49029.0,53481.0,-0.08324451674426436
MUSICAL INSTRUMENT,Lionshield Coster,United Moonshae Empire,11263.0,,
ADVENTURING EQUIPMENT,No Key Account,Southern Empire,582693.0,599841.0,-0.02858757570756254
JEWELRY,No Key Account,Purple Dragon Empire,1013226.0,1220986.0,-0.1701575611841577
TOOLS & KITS,Night's Knights,Calim Empire,200446.0,129066.0,0.5530503773263291
JEWELRY,Nobility,Purple Dragon Empire,64853.0,77983.0,-0.16837002936537449
ADVENTURING EQUIPMENT,No Key Account,Thayan Empire,9168317.0,9217554.0,-0.005341655714737326
TOOLS & KITS,Night's Knights,Bloodlands Empire,73067.0,133384.0,-0.45220566184849753
JEWELRY,No Key Account,Old Empire,133506.0,207491.0,-0.3565696825404475
ADVENTURING EQUIPMENT,No Key Account,United Moonshae Empire,8160598.0,9326745.0,-0.12503258103443382
MUSICAL INSTRUMENT,Lionshield Coster,Western Empire,3154.0,23851.0,-0.8677623579724121
TOOLS & KITS,Night's Knights,Amnian Empire,211639.0,251076.0,-0.15707196227437115
ADVENTURING EQUIPMENT,No Key Account,Waterdhavian Empire,3127971.0,3210860.0,-0.025815202157677408
JEWELRY,No Key Account,None Empire,343576.0,324192.0,0.05979172835850366
TOOLS & KITS,Lionshield Coster,Western Empire,28700.0,24905.0,0.1523790403533427
MUSICAL INSTRUMENT,Night's Knights,Amnian Empire,79350.0,63147.0,0.2565917620789586
MUSICAL INSTRUMENT,Lionshield Coster,Waterdhavian Empire,42544.0,19510.0,1.1806253203485393
TOOLS & KITS,No Key Account,New Neverwinter Empire,1459375.0,1419375.0,0.02818141787758699
MUSICAL INSTRUMENT,House of Wonders,Waterdhavian Empire,5376.0,26260.0,-0.7952779893373952
ADVENTURING EQUIPMENT,Night's Knights,Old Empire,94358.0,150745.0,-0.3740555242296594
MUSICAL INSTRUMENT,Clothes Contact,Thayan Empire,56289.0,25481.0,1.2090577292884896
TOOLS & KITS,Nobility,Waterdhavian Empire,112763.0,118717.0,-0.050152884591086355
JEWELRY,Order of the Gauntlet,Thayan Empire,44993.0,17168.0,1.6207479030754892
ADVENTURING EQUIPMENT,Lionshield Coster,Bloodlands Empire,410927.0,365433.0,0.12449340918855167
MUSICAL INSTRUMENT,Clothes Contact,Waterdhavian Empire,26571.0,19820.0,0.3406155398587285
TOOLS & KITS,Nobility,United Moonshae Empire,26653.0,18573.0,0.43504011199052384
ADVENTURING EQUIPMENT,Lionshield Coster,Calim Empire,450773.0,553611.0,-0.1857585922245042
MUSICAL INSTRUMENT,Clothes Contact,Western Empire,2143.0,,
TOOLS & KITS,Nobility,Thayan Empire,113355.0,93300.0,0.2149517684887461
JEWELRY,Order of the Gauntlet,Purple Dragon Empire,33568.0,26494.0,0.26700384992828563
ADVENTURING EQUIPMENT,Lionshield Coster,Dwarven Empire,85711.0,187799.0,-0.5436024685967444
TOOLS & KITS,Nobility,Southern Empire,36180.0,13101.0,1.7616212502862378
MUSICAL INSTRUMENT,House of Wonders,Amnian Empire,146945.0,94438.0,0.5559944090302633
ADVENTURING EQUIPMENT,Lionshield Coster,Halruaan Empire,694501.0,585928.0,0.18530092434565337
JEWELRY,Order of the Gauntlet,Old Empire,13850.0,4250.0,2.2588235294117647
TOOLS & KITS,Nobility,Purple Dragon Empire,200962.0,200770.0,0.0009563181750260608
ADVENTURING EQUIPMENT,Lionshield Coster,None Empire,48147.0,45282.0,0.06327017357890563
MUSICAL INSTRUMENT,House of Wonders,Bloodlands Empire,43335.0,30519.0,0.41993512238277786
JEWELRY,Order of the Gauntlet,New Neverwinter Empire,2263.0,11453.0,-0.8024098489478739
ADVENTURING EQUIPMENT,Lionshield Coster,Amnian Empire,672231.0,743643.0,-0.09602994985497071
TOOLS & KITS,Nobility,Western Empire,24309.0,21233.0,0.14486883624546687
JEWELRY,Order of the Gauntlet,United Moonshae Empire,1744.0,,
ADVENTURING EQUIPMENT,House of Wonders,Western Empire,51520.0,73093.0,-0.29514454188499584
TOOLS & KITS,Order of the Gauntlet,New Neverwinter Empire,11370.0,31174.0,-0.6352729838968372
ADVENTURING EQUIPMENT,House of Wonders,Purple Dragon Empire,824672.0,595982.0,0.3837196425395397
MUSICAL INSTRUMENT,Clothes Contact,Halruaan Empire,103809.0,95591.0,0.08597043654737369
JEWELRY,Private Buyer,Calim Empire,413392.0,330741.0,0.24989644465004335
TOOLS & KITS,Order of the Gauntlet,Halruaan Empire,136379.0,178457.0,-0.2357878928817586
ADVENTURING EQUIPMENT,House of Wonders,Southern Empire,57008.0,80160.0,-0.28882235528942113
MUSICAL INSTRUMENT,Clothes Contact,New Neverwinter Empire,7176.0,5550.0,0.29297297297297287
TOOLS & KITS,Order of the Gauntlet,Dwarven Empire,10527.0,73050.0,-0.8558932238193019
JEWELRY,Private Buyer,Bloodlands Empire,189151.0,175761.0,0.07618299850364973
TOOLS & KITS,Nobility,Old Empire,40792.0,69619.0,-0.4140679986785216
ADVENTURING EQUIPMENT,House of Wonders,Thayan Empire,476530.0,540075.0,-0.11765958431699297
TOOLS & KITS,Order of the Gauntlet,Calim Empire,112078.0,147382.0,-0.23954078517050925
ADVENTURING EQUIPMENT,House of Wonders,United Moonshae Empire,159084.0,200840.0,-0.2079067914758016
JEWELRY,Private Buyer,Amnian Empire,333736.0,386592.0,-0.13672295339789753
MUSICAL INSTRUMENT,Clothes Contact,Old Empire,1764.0,16049.0,-0.8900866097576173
TOOLS & KITS,Order of the Gauntlet,Bloodlands Empire,84172.0,62147.0,0.35440166057894995
ADVENTURING EQUIPMENT,House of Wonders,Waterdhavian Empire,148428.0,125177.0,0.18574498510109683
JEWELRY,Order of the Gauntlet,Waterdhavian Empire,7398.0,21950.0,-0.6629612756264237
TOOLS & KITS,Order of the Gauntlet,Amnian Empire,301577.0,293026.0,0.029181710837946184
MUSICAL INSTRUMENT,Clothes Contact,Purple Dragon Empire,42494.0,43153.0,-0.015271244177693322
MUSICAL INSTRUMENT,Clothes Contact,None Empire,32859.0,,
ADVENTURING EQUIPMENT,House of Wonders,Old Empire,88007.0,128660.0,-0.3159723301725478
ADVENTURING EQUIPMENT,Lionshield Coster,Old Empire,84577.0,148221.0,-0.4293858495085042
TOOLS & KITS,Nobility,Halruaan Empire,239134.0,267107.0,-0.10472582148726917
TOOLS & KITS,No Key Account,United Moonshae Empire,3029484.0,3480382.0,-0.1295541696285063
ADVENTURING EQUIPMENT,Night's Knights,Bloodlands Empire,241937.0,262131.0,-0.07703781696937795
MUSICAL INSTRUMENT,House of Wonders,Purple Dragon Empire,94118.0,64355.0,0.46248154766529415
TOOLS & KITS,No Key Account,Thayan Empire,3090717.0,3612813.0,-0.14451232322292906
JEWELRY,Nobility,Waterdhavian Empire,50831.0,39735.0,0.2792500314584119
ADVENTURING EQUIPMENT,Night's Knights,Calim Empire,609004.0,565956.0,0.07606245008445889
TOOLS & KITS,No Key Account,Southern Empire,204120.0,217282.0,-0.06057565744056115
MUSICAL INSTRUMENT,House of Wonders,Southern Empire,2789.0,250.0,10.156
ADVENTURING EQUIPMENT,Night's Knights,Dwarven Empire,170917.0,236245.0,-0.2765264873330653
JEWELRY,Nobility,United Moonshae Empire,5740.0,5290.0,0.08506616257088839
TOOLS & KITS,No Key Account,Purple Dragon Empire,3029986.0,2881407.0,0.051564739032007534
ADVENTURING EQUIPMENT,Night's Knights,Halruaan Empire,758116.0,765293.0,-0.009378107469949382
MUSICAL INSTRUMENT,House of Wonders,Thayan Empire,16676.0,33842.0,-0.5072395248507772
JEWELRY,Nobility,Thayan Empire,50539.0,41848.0,0.20768017587459386
TOOLS & KITS,No Key Account,Old Empire,271260.0,435358.0,-0.37692657537015517
ADVENTURING EQUIPMENT,Night's Knights,None Empire,63408.0,27751.0,1.284890634571727
MUSICAL INSTRUMENT,House of Wonders,United Moonshae Empire,13460.0,15373.0,-0.12443895140831329
TOOLS & KITS,No Key Account,None Empire,846564.0,795388.0,0.06434092543513348
JEWELRY,Nobility,Southern Empire,2760.0,4596.0,-0.39947780678851175
JEWELRY,Nobility,Western Empire,22449.0,21025.0,0.06772889417360295
ADVENTURING EQUIPMENT,Night's Knights,Amnian Empire,645062.0,619304.0,0.04159185149781042
MUSICAL INSTRUMENT,House of Wonders,Old Empire,9393.0,10116.0,-0.07147093712930008
TOOLS & KITS,No Key Account,Waterdhavian Empire,1124198.0,1103133.0,0.019095612224455216
JEWELRY,Order of the Gauntlet,Halruaan Empire,74729.0,81590.0,-0.0840911876455448
ADVENTURING EQUIPMENT,Lionshield Coster,Purple Dragon Empire,438353.0,534846.0,-0.18041267953766127
TOOLS & KITS,Nobility,Dwarven Empire,82309.0,100009.0,-0.17698407143357098
MUSICAL INSTRUMENT,House of Wonders,Dwarven Empire,25039.0,16798.0,0.4905941183474223
ADVENTURING EQUIPMENT,Lionshield Coster,Southern Empire,43130.0,70083.0,-0.38458684702424273
JEWELRY,Order of the Gauntlet,Dwarven Empire,33.0,4272.0,-0.9922752808988764
TOOLS & KITS,Nobility,Calim Empire,230308.0,180125.0,0.2786009715475364
ADVENTURING EQUIPMENT,Lionshield Coster,Thayan Empire,424747.0,477759.0,-0.11095970981185077
MUSICAL INSTRUMENT,House of Wonders,Halruaan Empire,90790.0,65346.0,0.3893734888133933
MUSICAL INSTRUMENT,House of Wonders,Calim Empire,57355.0,89008.0,-0.35561971957576843
JEWELRY,Order of the Gauntlet,Calim Empire,20479.0,41573.0,-0.5073966276188873
ADVENTURING EQUIPMENT,Lionshield Coster,United Moonshae Empire,58353.0,,
MUSICAL INSTRUMENT,House of Wonders,New Neverwinter Empire,8487.0,1576.0,4.38515228426396
TOOLS & KITS,Nobility,Amnian Empire,330684.0,275896.0,0.1985820744048481
JEWELRY,Order of the Gauntlet,Bloodlands Empire,38755.0,47653.0,-0.18672486517113296
ADVENTURING EQUIPMENT,Lionshield Coster,Waterdhavian Empire,248286.0,237739.0,0.04436377708327188
MUSICAL INSTRUMENT,House of Wonders,None Empire,3312.0,,
TOOLS & KITS,No Key Account,Western Empire,372305.0,353671.0,0.05268738460320477
ADVENTURING EQUIPMENT,Lionshield Coster,Western Empire,161120.0,93570.0,0.7219194186170781
JEWELRY,Order of the Gauntlet,Amnian Empire,171651.0,109117.0,0.5730912690048298
TOOLS & KITS,Nobility,Bloodlands Empire,126156.0,109610.0,0.1509533801660432
TOOLS & KITS,Black Phoenix,Amnian Empire,257097.0,278524.0,-0.0769305338139622
MUSICAL INSTRUMENT,Sprite's & Spirits,Southern Empire,20061.0,6224.0,2.223168380462725
MUSICAL INSTRUMENT,Order of the Gauntlet,Purple Dragon Empire,26533.0,21899.0,0.21160783597424548
ARMS & ARMOUR,Nobility,Dwarven Empire,571515.0,247426.0,1.3098421346180271
SUMMONING DEVICE,Bottle's Up,Old Empire,11185.0,12077.0,-0.07385940216941289
ANIMALS & TRANSPORTATION,Sprite's & Spirits,Dwarven Empire,5674.0,28258.0,-0.7992073041262651
POTIONS & SCROLLS,Lionshield Coster,Calim Empire,173176.0,131973.0,0.31220780008031945
SUMMONING DEVICE,Bottle's Up,Halruaan Empire,53462.0,51675.0,0.0345815191098211
ARMS & ARMOUR,Nobility,Calim Empire,747189.0,573750.0,0.30229019607843144
ANIMALS & TRANSPORTATION,Sprite's & Spirits,Halruaan Empire,98102.0,101935.0,-0.03760239368224849
SUMMONING DEVICE,Bottle's Up,Dwarven Empire,7705.0,9539.0,-0.19226333997274347
POTIONS & SCROLLS,Lionshield Coster,Dwarven Empire,20907.0,80067.0,-0.7388811870058826
ANIMALS & TRANSPORTATION,Sprite's & Spirits,Calim Empire,73790.0,42985.0,0.7166453413981622
ANIMALS & TRANSPORTATION,Sprite's & Spirits,Old Empire,6391.0,29133.0,-0.7806267806267806
SUMMONING DEVICE,Bottle's Up,Calim Empire,50051.0,22487.0,1.2257748921599148
POTIONS & SCROLLS,Lionshield Coster,Halruaan Empire,175037.0,171877.0,0.01838524060810931
ANIMALS & TRANSPORTATION,Sprite's & Spirits,Purple Dragon Empire,53486.0,58477.0,-0.08534979564615153
SUMMONING DEVICE,Bottle's Up,Bloodlands Empire,22620.0,14459.0,0.5644235424303201
ARMS & ARMOUR,Nobility,Amnian Empire,1044213.0,1144255.0,-0.08742981241069514
ANIMALS & TRANSPORTATION,Sprite's & Spirits,Southern Empire,6183.0,20727.0,-0.7016934433347808
POTIONS & SCROLLS,Lionshield Coster,None Empire,30535.0,15890.0,0.921648835745752
SUMMONING DEVICE,Bottle's Up,Amnian Empire,141630.0,88014.0,0.6091758129388507
ARMS & ARMOUR,No Key Account,Western Empire,947817.0,1021936.0,-0.0725280252383711
ARMS & ARMOUR,Nobility,Bloodlands Empire,263970.0,578035.0,-0.5433321511673168
POTIONS & SCROLLS,Lionshield Coster,Bloodlands Empire,95350.0,137874.0,-0.30842653437196277
SUMMONING DEVICE,Bottle's Up,Purple Dragon Empire,76097.0,88648.0,-0.14158243840808593
ARMS & ARMOUR,Nobility,Halruaan Empire,832510.0,742815.0,0.1207501194779319
ANIMALS & TRANSPORTATION,Private Buyer,Purple Dragon Empire,290424.0,332334.0,-0.12610807199985552
SUMMONING DEVICE,Clothes Contact,Bloodlands Empire,64172.0,53545.0,0.19846857783173033
POTIONS & SCROLLS,House of Wonders,Thayan Empire,178848.0,249927.0,-0.2843990445210002
